,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDENTIFICACIÓN,TIEMPO,TIEMPO,TIEMPO,TIEMPO,TIEMPO,ACTIVO,ACTIVO,ACTIVO,SETUP,SETUP,SETUP,SETUP,PRECIOS,PRECIOS,PRECIOS,PRECIOS,PRECIOS,PRECIOS,RESULTADO,RESULTADO,RESULTADO,RESULTADO,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,ANALYTICS,EJECUCIÓN,EJECUCIÓN,METADATOS
OP_ID,FECHA,HORA_ENTRADA,HORA_SALIDA,DURACION,SESION,TICKER,MERCADO,SECTOR,SCN_ID_REF,EST_ID_REF,TIPO_OP,SCORE_ENTRADA,PRECIO_ENTRADA,PRECIO_SALIDA,STOP_LOSS,TAKE_PROFIT,TAMAÑO_POS,COMISION_USD,RESULTADO_PCT,RESULTADO_EUR,RR_REAL,RESULTADO,MAX_FAVOR_PCT,MAX_CONTRA_PCT,DRAWDOWN_OP,RVOL_ENTRADA,ATR_ENTRADA,BROKER,SLIPPAGE_PCT,NOTAS
3549467dbe39,2026-07-07 00:00:00,20:00:00,04:00:00,1.3d,,GOOGL,nyse,,ST-04,,,82.0,316.22,358.8900146484375,280.0,,,,13.494,,1.155,WIN,21.586240903904905,-0.41743283268472964,,,9.0,PAPER,0.001,
62f5e3386d05,2026-08-06 00:00:00,14:00:00,15:15:00,0.1d,,AAPL,nyse,,ST-05,,,75.0,220.0,310.1000061035156,215.0,,,,40.955,,17.91,WIN,43.09545343572444,40.55909590287642,,,,PAPER,0.001,
a2cce9b12eb9,2026-08-08 00:00:00,08:56:00,01:00:00,-0.3d,,LINK,crypto,,SC-02,,,81.0,8.261,8.189,8.1148,,,,-0.872,,-0.608,LOSS,1.670499939474639,-1.0773514102408743,,0.31024934137884075,0.2886,PAPER,0.001,
657ed71e1f44,2026-08-08 00:00:00,08:56:00,01:00:00,-0.3d,,BNB,crypto,,SC-02,,,63.0,594.37,590.95,577.5117,,,,-0.575,,-0.277,LOSS,2.966165856284805,-0.6258727728519318,,0.26641342220017217,12.3408,PAPER,0.001,
d84858ef4849,2026-08-08 00:00:00,08:56:00,22:00:00,0.5d,,SUI,crypto,,SC-PB,,,69.0,0.6914,0.6905,0.6534,,,,-0.13,,-0.064,BREAKEVEN,2.270754989875605,-2.719120624819213,,0.3730917019495792,0.0253,PAPER,0.001,
eb8f9c9b2ca2,2026-08-08 00:00:00,08:56:00,01:00:00,0.7d,,ATOM,crypto,,SC-PB,,,56.0,1.382,1.382,1.3477,,,,0.0,,-0.084,BREAKEVEN,1.5195369030390833,-1.3024602026049057,,0.1789679485716135,0.0529,PAPER,0.001,
a1d3348a8630,2026-08-07 00:00:00,21:22:00,04:00:00,2.3d,,AAPL,nyse,,ST-16,,,95.0,313.33,305.54998779296875,299.8942,,,,-2.483,,-0.629,LOSS,-1.8638527321434222,-2.7766237248866963,,0.609546309243419,8.9572,PAPER,0.001,
2e2285b99181,2026-08-08 00:00:00,08:52:00,04:00:00,1.8d,,AAPL,nyse,,ST-16,,,95.0,313.33,305.54998779296875,299.8942,,,,-2.483,,-0.629,LOSS,-1.8638527321434222,-2.7766237248866963,,0.6108955416402303,8.9572,PAPER,0.001,data_lag_hours=28.88h (>24h) — excluido de métricas agregadas por defecto (R4)
547fd0135cd2,2026-08-07 00:00:00,21:22:00,04:00:00,6.3d,,AVGO,nyse,,ST-16,,,100.0,427.76,394.8349914550781,389.036,,,,-7.697,,-0.876,LOSS,1.161869035517144,-8.171640014077694,,0.6478322523153238,16.5959,PAPER,0.001,
66399b38fffa,2026-08-08 00:00:00,08:52:00,04:00:00,5.8d,,AVGO,nyse,,ST-16,,,100.0,427.76,394.8349914550781,389.0352,,,,-7.697,,-0.876,LOSS,1.161869035517144,-8.171640014077694,,0.7704188548993759,16.5974,PAPER,0.001,data_lag_hours=28.88h (>24h) — excluido de métricas agregadas por defecto (R4)
86a0d4943e12,2026-08-07 00:00:00,21:22:00,04:00:00,16.3d,,MSFT,nyse,,ST-16,,,100.0,499.99,489.17999267578125,430.5042,,,,-2.162,,-0.175,TIMEOUT,2.5549915348941155,-4.74740626005102,,0.6099583831254174,15.8142,PAPER,0.001,
606dec7ff5b1,2026-08-07 00:00:00,21:22:00,04:00:00,13.3d,,NVDA,nyse,,ST-16,,,100.0,223.96,214.72000122070312,204.065,,,,-4.126,,-0.49,LOSS,1.7681720704345885,-6.849439579751968,,0.8095976543834074,7.6431,PAPER,0.001,
14da42519754,2026-08-08 00:00:00,08:52:00,04:00:00,15.8d,,MSFT,nyse,,ST-16,,,100.0,499.99,489.17999267578125,430.5042,,,,-2.162,,-0.175,TIMEOUT,2.5549915348941155,-4.74740626005102,,0.7282258131766469,15.8142,PAPER,0.001,data_lag_hours=28.88h (>24h) — excluido de métricas agregadas por defecto (R4)
9d6ae149a607,2026-08-08 00:00:00,08:52:00,04:00:00,12.8d,,NVDA,nyse,,ST-16,,,100.0,223.96,214.72000122070312,204.065,,,,-4.126,,-0.49,LOSS,1.7681720704345885,-6.849439579751968,,0.8153420232844762,7.6431,PAPER,0.001,data_lag_hours=28.88h (>24h) — excluido de métricas agregadas por defecto (R4)
